,release_date,title
802,1996-06-20,Diebinnen
803,1995-09-06,The Convent
804,1996-07-26,The Adventures of Pinocchio
805,1996-07-26,Joe's Apartment
806,1996-09-20,The First Wives Club
807,1995-10-01,Stonewall
808,1996-11-08,Ransom
809,1996-10-25,High School High
810,1996-08-02,Phat Beach
811,1996-08-23,Foxfire
812,1996-08-02,Chain Reaction
813,1996-08-02,Matilda
814,1996-08-02,Emma
815,1996-08-29,The Crow: City of Angels
816,1996-08-14,House Arrest
817,1960-01-11,Eyes Without a Face
818,1996-08-16,Bordello of Blood
819,1995-06-01,Lotto Land
820,1994-03-30,The Story of Xinghua
821,1994-01-01,The Day the Sun Turned Cold
822,1995-09-14,Flirt
823,1996-09-06,The Big Squeeze
824,1996-08-23,The Spitfire Grill
825,1996-08-09,Escape from L.A.
826,1995-01-01,Cyclo
827,1996-08-09,Basquiat
828,1996-08-16,Tin Cup
829,1991-06-02,Dingo
830,1958-06-01,The Ballad of Narayama
831,1990-08-28,Every Other Weekend
832,1993-01-01,Mille bolle blu
833,1949-01-01,Crows and Sparrows
834,1972-03-14,The Godfather
835,1994-10-05,Maybe... Maybe Not
836,1992-07-04,Police Story 3: Supercop
837,1996-01-22,Manny & Lo
838,1953-04-29,Wife
839,1996-04-05,Small Faces
840,1996-09-13,Bound
841,1996-08-23,Carpool
842,1990-11-08,Death in Brunswick
843,1996-08-16,Kansas City
844,1997-05-30,Gone Fishin'
845,1996-07-12,Lover's Knot
846,1994-09-02,Vive L'Amour
847,1976-01-31,Shadow of Angels
848,1996-09-06,Killer: A Journal of Murder
849,1994-01-01,Nothing to Lose
850,1993-10-21,Project S
851,1996-08-21,Girls Town
852,1995-08-30,Bye-Bye
853,1997-01-10,The Relic
854,1996-08-23,The Island of Dr. Moreau
855,1996-08-30,First Kid
856,1996-08-30,The Trigger Effect
857,1995-06-08,Sweet Nothing
858,1996-09-06,Bogus
859,1996-09-06,Bulletproof
860,1998-10-30,Talk of Angels
861,1995-03-16,The Land Before Time III: The Time of the Great Giving
862,1994-09-01,1-900
863,1988-10-08,Baton Rouge
864,1995-09-29,Halloween: The Curse of Michael Myers
865,1996-10-31,Twelfth Night
866,1996-11-01,Mother Night
867,1933-03-10,Liebelei
868,2010-05-25,Venice
869,1994-05-05,Wild Reeds
870,1943-07-12,For Whom the Bell Tolls
871,1940-12-05,The Philadelphia Story
872,1952-04-10,Singin' in the Rain
873,1951-08-08,An American in Paris
874,1957-02-13,Funny Face
875,1961-10-05,Breakfast at Tiffany's
876,1958-05-09,Vertigo
877,1954-08-01,Rear Window
878,1934-02-22,It Happened One Night
879,1944-05-04,Gaslight
880,1934-10-12,The Gay Divorcee
881,1959-07-07,North by Northwest
882,1960-06-15,The Apartment
883,1959-03-18,Some Like It Hot
884,1963-12-05,Charade
885,1942-11-26,Casablanca
886,1941-11-18,The Maltese Falcon
887,1964-10-21,My Fair Lady
888,1954-09-28,Sabrina
889,1953-09-02,Roman Holiday
890,1939-03-17,The Little Princess
891,1944-11-23,Meet Me in St. Louis
892,1939-08-15,The Wizard of Oz
893,1939-12-15,Gone with the Wind
894,1982-10-01,My Favorite Year
895,1950-08-10,Sunset Boulevard
896,1941-04-30,Citizen Kane
897,1968-04-10,2001: A Space Odyssey
898,1947-08-27,Golden Earrings
899,1950-11-09,All About Eve
900,1939-01-01,The Women
901,1940-04-12,Rebecca
902,1940-08-16,Foreign Correspondent
903,1946-08-15,Notorious
904,1945-12-28,Spellbound
905,1957-07-11,An Affair to Remember
906,1955-08-03,To Catch a Thief
907,1950-06-16,Father of the Bride
908,1953-08-07,The Band Wagon
909,1939-10-06,Ninotchka
910,1957-06-30,Love in the Afternoon
911,1958-04-15,Gigi
912,1958-01-01,The Reluctant Debutante
913,1938-05-13,The Adventures of Robin Hood
914,1940-11-08,The Mark of Zorro
915,1944-10-11,Laura
916,1947-06-26,The Ghost and Mrs. Muir
917,1937-09-01,Lost Horizon
918,1935-09-06,Top Hat
919,1942-03-05,To Be or Not to Be
920,1936-09-17,My Man Godfrey
921,1956-10-10,Giant
922,1955-03-09,East of Eden
923,1934-05-25,The Thin Man
924,1940-01-18,His Girl Friday
925,1956-10-17,Around the World in Eighty Days
926,1946-12-20,It's a Wonderful Life
927,1939-10-19,Mr. Smith Goes to Washington
928,1938-02-18,Bringing Up Baby
929,1941-04-24,Penny Serenade
930,1926-08-09,The Scarlet Letter
931,1943-06-01,Lady of Burlesque
932,1934-07-20,Of Human Bondage
933,1946-09-20,Angel on My Shoulder
934,1936-03-06,Little Lord Fauntleroy
935,1939-01-28,They Made Me a Criminal
936,1949-12-31,The Inspector General
937,1947-02-15,Angel and the Badman
938,1935-06-01,The 39 Steps
939,1945-12-25,A Walk in the Sun
940,1943-02-05,The Outlaw
941,1968-10-01,Night of the Living Dead
942,1951-12-03,The African Queen
943,1953-11-24,Beat the Devil
944,1958-02-17,Cat on a Hot Tin Roof
945,1954-01-01,The Last Time I Saw Paris
946,1941-03-12,Meet John Doe
947,1938-06-28,Algiers
948,1937-09-30,Something to Sing About
949,1932-12-08,A Farewell to Arms
950,1936-03-27,Moonlight Murder
951,1996-10-18,Nothing Personal
952,1985-01-01,"Yes, Madam"
953,1997-02-12,Dangerous Ground
954,1955-11-18,Picnic
955,1995-01-26,Madagascar Skin
956,1996-07-26,The Pompatus of Love
957,1995-01-01,Small Wonders
958,1996-09-13,Fly Away Home
959,1997-04-14,Bliss
960,1996-09-13,Grace of My Heart
961,1995-09-08,Brother of Sleep
962,1996-09-13,Maximum Risk
963,1996-10-25,Michael Collins
964,1996-09-13,The Rich Man's Wife
965,1996-10-04,Infinity
966,1996-09-20,Big Night
967,1996-09-20,Last Man Standing
968,1996-01-24,Caught
969,1996-11-06,Set It Off
970,1996-09-11,2 Days in the Valley
971,1996-09-06,Curdled
972,1979-08-22,L'associé
973,1996-10-18,Ed's Next Move
974,1996-09-27,Extreme Measures
975,1996-10-04,The Glimmer Man
976,1996-10-04,D3: The Mighty Ducks
977,1996-10-11,The Chamber
978,1975-07-01,The Apple Dumpling Gang
979,1955-05-25,"Davy Crockett, King of the Wild Frontier"
980,1975-03-21,Escape to Witch Mountain
981,1968-12-22,The Love Bug
982,1974-02-14,Herbie Rides Again
983,1957-12-25,Old Yeller
984,1961-06-12,The Parent Trap
985,1960-05-19,Pollyanna
986,1993-02-03,Homeward Bound: The Incredible Journey
987,1959-03-19,The Shaggy Dog
988,1960-12-21,Swiss Family Robinson
989,1965-12-02,That Darn Cat!
990,1954-12-23,"20,000 Leagues Under the Sea"
991,1993-09-30,Cool Runnings
992,1994-07-15,Angels in the Outfield
993,1950-03-04,Cinderella
994,1968-12-20,Winnie the Pooh and the Blustery Day
995,1944-07-21,The Three Caballeros
996,1963-12-25,The Sword in the Stone
997,1948-11-29,So Dear to My Heart
998,1991-06-14,Robin Hood: Prince of Thieves
999,1964-08-27,Mary Poppins
1000,1941-10-22,Dumbo
1001,1977-11-03,Pete's Dragon
1002,1971-10-07,Bedknobs and Broomsticks
1003,1951-07-03,Alice in Wonderland
1004,1981-07-10,The Fox and the Hound
1005,1996-08-23,Freeway
1006,1965-03-02,The Sound of Music
1007,1988-07-15,Die Hard
1008,1992-03-05,The Lawnmower Man
1009,1996-09-04,Unhook the Stars
1010,1995-09-13,Synthetic Pleasures
1011,1996-11-08,The Secret Agent
1012,1996-05-24,Secrets & Lies
1013,1996-10-04,That Thing You Do!
1014,1996-10-18,To Gillian on Her 37th Birthday
1015,1996-09-04,Surviving Picasso
1016,1996-05-10,Love Is All There Is
1017,1996-06-21,Beautiful Thing
1018,1996-10-11,The Long Kiss Goodnight
1019,1996-10-11,The Ghost and the Darkness
1020,1996-10-11,Looking for Richard
1021,1996-10-11,Trees Lounge
1022,1996-09-09,The Proprietor
1023,1996-01-26,Normal Life
1024,1996-10-16,Get on the Bus
1025,1997-01-31,Shadow Conspiracy
1026,1996-02-06,Jude
1027,1996-12-06,Everyone Says I Love You
1028,1996-02-10,Bitter Sugar
1029,1996-10-31,Romeo + Juliet
1030,1996-10-18,Swingers
1031,1996-10-18,Sleepers
1032,1996-05-29,The Sunchaser
1033,1996-12-10,Johns
1034,1996-05-20,Aladdin and the King of Thieves
1035,1952-02-18,The Woman in Question
1036,1937-05-07,Shall We Dance
1037,1937-11-19,A Damsel in Distress
1038,1947-07-22,Crossfire
1039,1944-12-09,"Murder, My Sweet"
1040,1952-04-30,Macao
1041,1993-10-01,For the Moment
1042,1971-06-29,Willy Wonka & the Chocolate Factory
1043,1994-01-28,The Sexual Life of the Belgians
1044,1961-12-25,The Innocents
1045,1973-12-17,Sleeper
1046,1971-04-28,Bananas
1047,1988-07-15,A Fish Called Wanda
1048,1979-08-17,Life of Brian
1049,1982-04-25,Victor/Victoria
1050,1972-08-23,The Candidate
1051,1965-07-01,The Great Race
1052,1967-07-18,Bonnie and Clyde
1053,1958-10-07,The Old Man and the Sea
1054,1954-05-29,Dial M for Murder
1055,1995-11-22,Madame Butterfly
1056,1987-08-21,Dirty Dancing
1057,1992-09-02,Reservoir Dogs
1058,1986-12-18,Platoon
1059,1989-07-05,Weekend at Bernie's
1060,1992-03-20,Basic Instinct
1061,1991-03-01,The Doors
1062,1992-09-02,The Crying Game
1063,1992-09-15,Glengarry Glen Ross
1064,1982-12-08,Sophie's Choice
1065,1982-04-03,E.T. the Extra-Terrestrial
1066,1994-11-14,The Search for One-eye Jimmy
1067,1938-12-16,A Christmas Carol
1068,1990-06-27,Days of Thunder
1069,1986-05-16,Top Gun
1070,1996-09-12,American Strays
1071,1955-10-27,Rebel Without a Cause
1072,1951-09-18,A Streetcar Named Desire
1073,1996-10-08,Children of the Corn IV: The Gathering
1074,1996-09-27,The Leopard Son
1075,1996-10-03,Charm's  Incidents
1076,1995-09-12,Bird of Prey
1077,1996-05-20,Microcosmos
1078,1995-09-07,Palookaville
1079,1996-10-25,The Associate
1080,1996-01-26,The Funeral
1081,2013-10-12,The Sleepover
1082,1995-05-29,A Single Girl
1083,1996-01-01,The Eighth Day
1084,1996-01-03,North Star
1085,1997-03-14,Drunks
1086,1996-10-12,The People vs. Larry Flynt
1087,1995-10-01,Glory Daze
1088,1996-06-19,A Perfect Candidate
1089,1981-12-04,On Golden Pond
1090,1975-05-21,The Return of the Pink Panther
1091,1991-04-19,Drop Dead Fred
1092,1989-08-09,The Abyss
1093,1980-02-08,The Fog
1094,1981-05-22,Escape from New York
1095,1981-04-03,The Howling
1096,1986-08-27,Jean de Florette
1097,1986-11-19,Manon of the Spring
1098,1993-01-01,Johnny 100 Pesos
1099,1980-10-06,Private Benjamin
1100,1975-03-13,Monty Python and the Holy Grail
1101,1996-07-19,Hustler White
1102,1995-09-02,Dadetown
1103,1996-09-13,Everything Relative
1104,1996-09-27,Entertaining Angels - The Dorothy Day Story
1105,1996-05-15,Three Lives and Only One Death
1106,1996-09-27,The Line King: The Al Hirschfeld Story
1107,1996-10-17,Snowriders
1108,1995-09-18,Curtis's Charm
1109,1996-10-25,When We Were Kings
1110,1993-12-17,The Wrong Trousers
1111,1995-03-08,JLG/JLG: Self-Portrait in December
1112,1982-05-12,The Return of Martin Guerre
1113,1994-09-10,Faust
1114,1948-11-24,He Walked by Night
1115,1948-05-26,Raw Deal
1116,1947-12-15,T-Men
1117,1944-10-27,The Children Are Watching Us
1118,1946-09-26,Pastoral Symphony
1119,1935-09-10,Here Comes Cookie
1120,1935-04-20,Love In Bloom
1121,1934-02-09,Six of a Kind
1122,1979-05-02,The Tin Drum
1123,1972-09-13,The Ruling Class
1124,1994-03-02,Mina Tannenbaum
1125,1967-03-17,2 or 3 Things I Know About Her
1126,1996-10-26,The Bloody Child
1127,1996-11-01,Dear God
1128,1996-11-01,Bad Moon
1129,1990-09-28,American Dream
1130,1995-05-17,Best of the Best 3: No Turning Back
1131,1992-09-04,Bob Roberts
1132,1988-11-17,Cinema Paradiso
1133,1989-09-10,"The Cook, the Thief, His Wife & Her Lover"
1134,1994-05-18,Dead Tired
1135,1991-04-17,Delicatessen
1136,1991-05-15,The Double Life of Veronique
1137,1991-11-06,Enchanted April
1138,1957-09-18,Paths of Glory
1139,1990-09-14,The Grifters
1140,1991-12-27,Hear My Song
1141,1997-10-23,The Shooter
1142,1996-11-14,The English Patient
1143,1991-01-31,Mediterraneo
1144,1989-07-21,My Left Foot: The Story of Christy Brown
1145,1989-08-18,"Sex, Lies, and Videotape"
1146,1992-12-11,Passion Fish
1147,1992-08-20,Strictly Ballroom
1148,1988-08-28,The Thin Blue Line
1149,1989-12-12,Tie Me Up! Tie Me Down!
1150,1991-05-10,Madonna: Truth or Dare
1151,1990-03-13,Paris is Burning
1152,1975-11-18,One Flew Over the Cuckoo's Nest
1153,1978-01-01,Up in Smoke
1154,1980-05-17,The Empire Strikes Back
1155,1987-09-18,The Princess Bride
1156,1981-06-12,Raiders of the Lost Ark
1157,1985-02-20,Brazil
1158,1986-07-18,Aliens
1159,1966-12-23,"The Good, the Bad and the Ugly"
1160,1987-01-01,Withnail & I
1161,1957-03-25,12 Angry Men
1162,1962-12-10,Lawrence of Arabia
1163,1971-12-18,A Clockwork Orange
1164,1962-12-25,To Kill a Mockingbird
1165,1979-08-15,Apocalypse Now
1166,1968-12-21,Once Upon a Time in the West
1167,1983-05-23,Return of the Jedi
1168,1987-01-01,Wings of Desire
1169,1949-08-31,The Third Man
1170,1990-09-12,GoodFellas
1171,1979-05-25,Alien
1172,1992-10-09,Army of Darkness
1173,1988-05-11,The Big Blue
1174,1985-06-01,Ran
1175,1989-07-06,The Killer
1176,1960-06-16,Psycho
1177,1980-06-17,The Blues Brothers
1178,1974-12-20,The Godfather: Part II
1179,1987-06-26,Full Metal Jacket
1180,1990-05-18,A Grand Day Out
1181,1989-10-05,Henry V
1182,1984-10-26,Amadeus
1183,1952-07-21,The Quiet Man
1184,1984-02-16,Once Upon a Time in America
1185,1980-11-14,Raging Bull
1186,1977-04-19,Annie Hall
1187,1983-10-20,The Right Stuff
1188,1979-04-16,Stalker
1189,1981-09-16,Das Boot
1190,1973-12-25,The Sting
1191,1971-12-20,Harold and Maude
1192,1990-09-09,Trust
1193,1957-02-16,The Seventh Seal
1194,1983-02-17,Local Hero
1195,1984-10-26,The Terminator
1196,1992-08-13,Braindead
1197,1989-12-15,Glory
1198,1991-02-08,Rosencrantz & Guildenstern Are Dead
1199,1979-04-25,Manhattan
1200,1990-09-21,Miller's Crossing
1201,1989-06-02,Dead Poets Society
1202,1967-12-21,The Graduate
1203,1958-04-23,Touch of Evil
1204,1990-02-21,La Femme Nikita
1205,1957-10-02,The Bridge on the River Kwai
1206,1963-02-14,8½
1207,1974-06-20,Chinatown
1208,1951-09-17,The Day the Earth Stood Still
1209,1948-01-24,The Treasure of the Sierra Madre
1210,1987-12-01,Bad Taste
1211,1933-11-17,Duck Soup
1212,1985-10-11,Better Off Dead...
1213,1980-05-22,The Shining
1214,1986-08-22,Stand by Me
1215,1931-05-11,M
1216,1987-03-13,Evil Dead II
1217,1963-06-20,The Great Escape
1218,1978-12-08,The Deer Hunter
1219,1981-03-11,Diva
1220,1993-02-11,Groundhog Day
1221,1992-08-07,Unforgiven
1222,1962-10-24,The Manchurian Candidate
1223,1990-08-22,Pump up the Volume
1224,1944-09-23,Arsenic and Old Lace
1225,1985-07-03,Back to the Future
1226,1991-12-27,Fried Green Tomatoes
1227,1970-01-25,Patton
1228,1986-05-01,Down by Law
1229,1988-07-16,Akira
1230,1986-03-07,Highlander
1231,1967-06-22,Cool Hand Luke
1232,1990-03-28,Cyrano de Bergerac
1233,1974-12-15,Young Frankenstein
1234,1991-10-03,Night on Earth
1235,1991-12-20,Raise the Red Lantern
1236,1940-10-15,The Great Dictator
1237,1940-11-13,Fantasia
1238,1952-03-27,High Noon
1239,1946-08-23,The Big Sleep
1240,1988-10-01,Heathers
1241,1980-10-02,Somewhere in Time
1242,1959-12-26,Ben-Hur
1243,1984-05-04,This Is Spinal Tap
1244,1982-06-06,Koyaanisqatsi
1245,1987-02-27,Some Kind of Wonderful
1246,1989-05-24,Indiana Jones and the Last Crusade
1247,1979-12-19,Being There
1248,1982-11-30,Gandhi
1249,1988-02-05,The Unbearable Lightness of Being
1250,1985-12-13,A Room with a View
1251,1985-08-07,Real Genius
1252,1982-07-14,Pink Floyd: The Wall
1253,1984-11-02,The Killing Fields
1254,1985-12-12,My Life as a Dog
1255,1956-03-15,Forbidden Planet
1256,1989-04-21,Field of Dreams
1257,1975-12-03,The Man Who Would Be King
1258,1969-09-23,Butch Cassidy and the Sundance Kid
1259,1984-05-19,"Paris, Texas"
1260,1991-09-12,Until the End of the World
1261,1989-07-21,When Harry Met Sally...
1262,1996-10-18,I Shot a Man in Vegas
1263,1995-01-01,Parallel Sons
1264,1996-11-08,Hype!
1265,1996-11-08,Santa with Muscles
1266,1996-01-22,Female Perversions
1267,1996-11-08,Mad Dog Time
1268,1996-11-08,Breathing Room
1269,1996-02-19,Paris Was a Woman
1270,1996-12-24,I'm Not Rappaport
1271,1995-09-15,Blue Juice
1272,1996-09-05,Kids of Survival
1273,1992-05-22,Alien³
1274,1981-08-21,An American Werewolf in London
1275,1992-07-16,Amityville: It's About Time
1276,1983-11-18,Amityville 3-D
1277,1996-10-02,Amityville: Dollhouse
1278,1993-09-29,Amityville: A New Generation
1279,1982-09-24,Amityville II: The Possession
1280,1979-07-27,The Amityville Horror
1281,1989-12-01,The Amityville Curse
1282,1974-08-13,Blood for Dracula
1283,1986-03-27,April Fool's Day
1284,1977-04-06,Audrey Rose
1285,1987-06-09,The Believers
1286,1963-03-28,The Birds
1287,1958-09-12,The Blob
1288,1980-09-01,Blood Beach
1289,1991-08-02,Body Parts
1290,1945-05-25,The Body Snatcher
1291,1992-11-13,Dracula
1292,1935-04-21,Bride of Frankenstein
1293,1976-10-18,Burnt Offerings
1294,1992-10-16,Candyman
1295,1991-11-15,Cape Fear
1296,1962-04-12,Cape Fear
1297,1976-11-03,Carrie
1298,1982-04-02,Cat People
1299,1984-11-14,A Nightmare on Elm Street
1300,1922-03-15,Nosferatu
1301,1988-09-15,Vampire in Venice
1302,1976-06-06,The Omen
1303,1996-10-03,Blood and Wine
1304,1996-09-09,Albino Alligator
1305,1996-11-15,The Mirror Has Two Faces
1306,1996-05-13,Breaking the Waves
1307,1997-01-31,Nightwatch
1308,1996-11-21,Star Trek: First Contact
1309,1996-01-21,Shine
1310,1996-08-30,Sling Blade
1311,1996-11-15,Jingle All the Way
1312,1982-10-21,Identification of a Woman
1313,1996-12-03,Paradise Lost: The Child Murders at Robin Hood Hills
1314,1996-12-13,The Preacher's Wife
1315,1995-09-29,Zero Kelvin
1316,1996-05-09,Ridicule
1317,1996-11-27,The Crucible
1318,1996-11-17,101 Dalmatians
1319,1951-06-08,The Forbidden Christ
1320,1994-05-18,I Can't Sleep
1321,1990-07-02,Die Hard 2
1322,1979-12-06,Star Trek: The Motion Picture
1323,1991-12-05,Star Trek VI: The Undiscovered Country
1324,1989-06-09,Star Trek V: The Final Frontier
1325,1982-06-03,Star Trek II: The Wrath of Khan
1326,1984-05-31,Star Trek III: The Search for Spock
1327,1986-11-25,Star Trek IV: The Voyage Home
1328,1992-06-19,Batman Returns
1329,1988-08-12,Young Guns
1330,1990-08-01,Young Guns II
1331,1978-07-07,Grease
1332,1982-06-11,Grease 2
1333,1990-10-05,Marked for Death
1334,1996-11-29,Adrenalin: Fear the Rush
1335,1996-09-11,The Substance of Fire
1336,1992-10-08,Under Siege
1337,1958-09-01,Terror in a Texas Town
1338,1975-06-18,Jaws
1339,1978-06-16,Jaws 2
1340,1983-03-16,Jaws 3-D
1341,1996-12-20,My Fellow Americans
1342,1996-12-12,Mars Attacks!
1343,1996-12-13,Citizen Ruth
1344,1996-12-06,Jerry Maguire
1345,1987-03-01,Raising Arizona
1346,1987-03-06,Tin Men
1347,1992-09-09,Sneakers
1348,1996-12-15,Bastard Out of Carolina
1349,1996-12-18,In Love and War
1350,1996-12-18,Marvin's Room
1351,1996-12-19,Somebody Is Waiting
1352,1996-12-20,Ghosts of Mississippi
1353,1996-10-22,Night Falls on Manhattan
1354,1996-12-15,Beavis and Butt-Head Do America
1355,1995-08-30,La Cérémonie
1356,1996-12-20,Scream
1357,1992-09-25,The Last of the Mohicans
1358,1996-12-25,Michael
1359,1996-12-25,The Evening Star
1360,1996-12-25,Hamlet
1361,1996-12-25,Some Mother's Son
1362,1996-12-20,The Whole Wide World
1363,1996-12-25,Mother
1364,1996-08-21,Thieves
1365,1996-12-14,Evita
1366,1996-10-18,The Portrait of a Lady
1367,1971-07-01,Walkabout
1368,1996-02-15,Message to Love: The Isle of Wight Festival
1369,1997-04-18,Murder at 1600
1370,1995-08-29,Hearts and Minds
1371,1996-08-25,Inside
1372,1997-01-24,Fierce Creatures
1373,1997-01-24,Zeus & Roxanne
1374,1997-01-09,Turbulence
1375,1995-09-09,Angel Baby
1376,1996-02-10,First Strike
1377,1996-06-01,Underworld
1378,1997-01-17,Beverly Hills Ninja
1379,1997-01-16,Metro
1380,1994-05-28,The Machine
1381,1980-11-21,Falling in Love Again
1382,1993-02-20,The Cement Garden
1383,1997-02-07,Dante's Peak
1384,1997-01-01,Meet Wally Sparks
1385,1993-03-05,Amos & Andrew
1386,1993-04-16,Benny & Joon
1387,1997-01-24,Prefontaine
1388,1996-11-21,A Tickle in the Heart
1389,1995-01-01,Guantanamera
1390,1997-04-18,McHale's Navy
1391,1996-05-05,Kolya
1392,1997-01-29,Gridlock'd
1393,1996-11-29,Fire on the Mountain
1394,1996-01-31,Waiting for Guffman
1395,1996-03-15,Prisoner of the Mountains
1396,1997-02-07,The Beautician and the Beast
1397,1996-02-07,SubUrbia
1398,1996-12-19,Hotel de Love
1399,1997-02-07,The Pest
1400,1997-02-14,Fools Rush In
1401,1997-02-14,Touch
1402,1997-02-14,Absolute Power
1403,1997-02-14,That Darn Cat
1404,1997-02-13,Vegas Vacation
1405,1997-02-14,Unforgotten: Twenty-Five Years After Willowbrook
1406,1997-04-04,That Old Feeling
1407,1997-01-15,Lost Highway
1408,1997-02-21,Rosewood
1409,1997-02-27,Donnie Brasco
1410,1996-11-20,Salut cousin !
1411,1997-02-26,Booty Call
1412,1997-03-04,Rhyme & Reason
1413,1997-03-07,Boys Life 2
1414,1997-03-14,City of Industry
1415,1997-01-01,Best Men
1416,1997-03-07,Jungle 2 Jungle
1417,1996-09-11,Kama Sutra - A Tale of Love
1418,1997-03-07,Private Parts
1419,1997-03-14,Love Jones
